일자,ticker,pred_label,ESG_Label
20160111,114090,-1,Social
20160212,114090,0,Governance
20160212,114090,0,Governance
20160212,114090,0,Governance
20160212,114090,0,Governance
20160212,114090,0,Governance
20160212,114090,0,Governance
20160303,114090,0,Governance
20160303,114090,0,Governance
20160314,114090,1,Governance
20160406,114090,1,Social
20160421,114090,1,Social
20160504,114090,1,Social
20160507,114090,1,Governance
20160508,114090,0,Social
20160510,114090,0,Governance
20160510,114090,0,Governance
20160510,114090,0,Governance
20160511,114090,1,Social
20160511,114090,1,Social
20160512,114090,1,Social
20160613,114090,0,Governance
20160613,114090,-1,Governance
20160613,114090,-1,Governance
20160628,114090,1,Governance
20160708,114090,0,Environmental
20160727,114090,0,Social
20160802,114090,0,Governance
20160802,114090,0,Governance
20160805,114090,1,Governance
20160805,114090,1,Governance
20160805,114090,0,Governance
20160805,114090,0,Governance
20160808,114090,1,Governance
20160912,114090,0,Social
20160929,114090,1,Governance
20161012,114090,0,Governance
20161012,114090,0,Governance
20161020,114090,-1,Governance
20161104,114090,0,Governance
20161104,114090,0,Governance
20161104,114090,0,Governance
20161104,114090,0,Governance
20161104,114090,0,Governance
20161107,114090,-1,Social
20161107,114090,0,Social
20161107,114090,0,Social
20161201,114090,1,Governance
20161208,114090,0,Governance
20161222,114090,-1,Governance
20170110,114090,-1,Governance
20170113,114090,-1,Social
20170113,114090,0,Social
20170209,114090,0,Governance
20170209,114090,0,Governance
20170210,114090,0,Social
20170323,114090,0,Governance
20170323,114090,0,Governance
20170405,114090,-1,Governance
20170412,114090,-1,Governance
20170508,114090,0,Governance
20170511,114090,0,Governance
20170511,114090,0,Governance
20170512,114090,0,Governance
20170526,114090,-1,Social
20170612,114090,0,Governance
20170619,114090,0,Governance
20170619,114090,-1,Governance
20170619,114090,0,Governance
20170619,114090,0,Governance
20170619,114090,0,Governance
20170620,114090,0,Governance
20170620,114090,0,Governance
20170726,114090,1,Governance
20170801,114090,0,Governance
20170801,114090,0,Governance
20170802,114090,0,Governance
20170803,114090,-1,Governance
20170929,114090,1,Governance
20171010,114090,1,Governance
20171019,114090,0,Social
20171027,114090,0,Social
20171108,114090,0,Governance
20171108,114090,0,Governance
20171108,114090,0,Governance
20171109,114090,-1,Governance
20171109,114090,0,Environmental
20171109,114090,1,Governance
20171109,114090,1,Governance
20171110,114090,1,Governance
20171130,114090,1,Governance
20171130,114090,1,Governance
20171226,114090,0,Social
20180125,114090,0,Governance
20180208,114090,0,Governance
20180208,114090,0,Governance
20180208,114090,0,Governance
20180209,114090,-1,Governance
20180212,114090,-1,Governance
20180213,114090,-1,Governance
20180330,114090,0,Environmental
20180330,114090,0,Environmental
20180402,114090,0,Social
20180409,114090,0,Social
20180511,114090,0,Governance
20180511,114090,0,Governance
20180607,114090,0,Governance
20180607,114090,0,Governance
20180607,114090,1,Governance
20180607,114090,0,Governance
20180607,114090,0,Governance
20180608,114090,0,Governance
20180608,114090,0,Governance
20180618,114090,0,Governance
20180619,114090,-1,Social
20180620,114090,-1,Social
20180627,114090,1,Governance
20180627,114090,1,Governance
20180704,114090,1,Governance
20180709,114090,0,Governance
20180709,114090,0,Governance
20180709,114090,0,Governance
20180709,114090,0,Governance
20180709,114090,0,Governance
20180711,114090,0,Governance
20180716,114090,0,Social
20180716,114090,0,Governance
20180807,114090,0,Governance
20180807,114090,0,Governance
20180807,114090,0,Governance
20180807,114090,0,Governance
20180807,114090,0,Governance
20180807,114090,0,Governance
20180807,114090,0,Governance
20180807,114090,0,Governance
20180814,114090,0,Governance
20180830,114090,0,Social
20180903,114090,1,Governance
20180905,114090,0,Social
20180912,114090,0,Governance
20180913,114090,0,Social
20180913,114090,0,Social
20181011,114090,0,Social
20181011,114090,0,Social
20181012,114090,-1,Governance
20181012,114090,0,Governance
20181012,114090,-1,Governance
20181012,114090,0,Governance
20181012,114090,0,Governance
20181015,114090,0,Governance
20181019,114090,-1,Social
20181024,114090,0,Social
20181106,114090,-1,Governance
20181109,114090,0,Governance
20181109,114090,0,Governance
20181109,114090,0,Governance
20181109,114090,0,Governance
20181109,114090,0,Governance
20181109,114090,0,Governance
20181109,114090,0,Governance
20181112,114090,0,Governance
20181112,114090,-1,Social
20181112,114090,0,Governance
20181112,114090,0,Governance
20181114,114090,0,Governance
20181115,114090,1,Governance
20181203,114090,0,Social
20181204,114090,0,Social
20181204,114090,0,Social
20181207,114090,0,Governance
20181207,114090,0,Governance
20181207,114090,0,Governance
20181207,114090,0,Governance
20181212,114090,1,Social
20190104,114090,0,Governance
20190104,114090,0,Governance
20190104,114090,0,Governance
20190107,114090,1,Environmental
20190129,114090,0,Governance
20190207,114090,-1,Governance
20190207,114090,1,Governance
20190211,114090,0,Governance
20190211,114090,0,Governance
20190211,114090,0,Governance
20190211,114090,0,Governance
20190212,114090,0,Governance
20190212,114090,0,Governance
20190212,114090,0,Governance
20190212,114090,-1,Governance
20190212,114090,-1,Governance
20190212,114090,-1,Governance
20190212,114090,-1,Governance
20190212,114090,0,Governance
20190212,114090,-1,Governance
20190215,114090,-1,Governance
20190314,114090,1,Social
20190315,114090,1,Social
20190315,114090,0,Social
20190329,114090,0,Social
20190402,114090,0,Social
20190403,114090,1,Governance
20190405,114090,0,Governance
20190405,114090,0,Governance
20190405,114090,0,Governance
20190409,114090,0,Social
20190411,114090,0,Social
20190411,114090,-1,Social
20190501,114090,0,Social
20190509,114090,0,Governance
20190509,114090,1,Governance
20190509,114090,0,Governance
20190509,114090,0,Governance
20190509,114090,0,Governance
20190509,114090,0,Governance
20190510,114090,0,Governance
20190510,114090,0,Governance
20190510,114090,0,Social
20190515,114090,0,Governance
20190607,114090,0,Governance
20190611,114090,0,Governance
20190623,114090,0,Social
20190703,114090,-1,Governance
20190708,114090,0,Governance
20190717,114090,1,Environmental
20190717,114090,-1,Environmental
20190717,114090,0,Environmental
20190725,114090,0,Environmental
20190725,114090,1,Environmental
20190806,114090,0,Governance
20190809,114090,0,Governance
20190809,114090,0,Governance
20190809,114090,0,Governance
20190809,114090,0,Governance
20190812,114090,1,Governance
20190812,114090,1,Governance
20190926,114090,0,Social
20190927,114090,0,Social
20190929,114090,0,Social
20190929,114090,0,Social
20190929,114090,0,Social
20190930,114090,0,Social
20191004,114090,0,Governance
20191004,114090,0,Governance
20191010,114090,0,Governance
20191017,114090,1,Governance
20191025,114090,0,Environmental
20191029,114090,0,Social
20191108,114090,0,Governance
20191108,114090,0,Governance
20191113,114090,0,Social
20191202,114090,0,Governance
20191203,114090,1,Social
20200103,114090,0,Governance
20200103,114090,0,Governance
20200112,114090,1,Social
20200112,114090,0,Social
20200113,114090,0,Environmental
20200113,114090,1,Social
20200114,114090,0,Environmental
20200211,114090,0,Governance
20200211,114090,0,Governance
20200211,114090,0,Governance
20200211,114090,0,Governance
20200212,114090,1,Governance
20200218,114090,0,Governance
20200218,114090,0,Governance
20200221,114090,0,Social
20200226,114090,1,Governance
20200226,114090,1,Governance
20200302,114090,0,Governance
20200302,114090,0,Governance
20200303,114090,0,Governance
20200303,114090,1,Governance
20200323,114090,0,Social
20200324,114090,0,Governance
20200325,114090,0,Social
20200406,114090,-1,Governance
20200406,114090,-1,Governance
20200406,114090,0,Governance
20200410,114090,-1,Environmental
20200415,114090,-1,Social
20200420,114090,-1,Governance
20200507,114090,0,Environmental
20200508,114090,0,Governance
20200508,114090,0,Governance
20200508,114090,0,Governance
20200508,114090,0,Governance
20200508,114090,0,Governance
20200511,114090,1,Social
20200629,114090,0,Social
20200810,114090,-1,Governance
20200810,114090,-1,Governance
20200810,114090,-1,Governance
20200811,114090,-1,Governance
20200915,114090,0,Social
20200924,114090,1,Governance
20201007,114090,0,Governance
20201022,114090,1,Governance
20201109,114090,-1,Governance
20201109,114090,-1,Governance
20201109,114090,-1,Governance
20201109,114090,-1,Governance
20201119,114090,0,Social
20201124,114090,0,Governance
20201203,114090,0,Social
20201212,114090,0,Governance
20201217,114090,0,Social
20210124,114090,1,Social
20210131,114090,0,Governance
20210209,114090,-1,Governance
20210222,114090,0,Governance
20210325,114090,1,Governance
20210405,114090,-1,Social
20210405,114090,0,Environmental
20210406,114090,0,Governance
20210406,114090,0,Environmental
20210414,114090,0,Governance
20210422,114090,0,Governance
20210504,114090,0,Governance
20210511,114090,-1,Governance
20210511,114090,-1,Governance
20210511,114090,-1,Governance
20210511,114090,-1,Governance
20210525,114090,0,Governance
20210601,114090,0,Environmental
20210622,114090,-1,Social
20210622,114090,0,Social
20210622,114090,0,Social
20210705,114090,0,Governance
20210705,114090,0,Governance
20210812,114090,-1,Governance
20210820,114090,1,Governance
20210908,114090,1,Governance
20210915,114090,0,Environmental
20211015,114090,-1,Social
20211021,114090,0,Environmental
20211109,114090,-1,Governance
20211110,114090,-1,Environmental
20211111,114090,-1,Governance
20211111,114090,-1,Governance
20211115,114090,0,Social
20211115,114090,0,Social
20211228,114090,0,Environmental
20211228,114090,0,Environmental
20220124,114090,0,Governance
20220211,114090,-1,Governance
20220211,114090,-1,Governance
20220406,114090,0,Social
20220421,114090,1,Social
20220503,114090,0,Environmental
20220511,114090,-1,Governance
20220602,114090,0,Governance
20220602,114090,0,Governance
20220627,114090,-1,Governance
20220810,114090,-1,Governance
20220810,114090,-1,Governance
20220810,114090,1,Social
20220816,114090,0,Environmental
20220816,114090,0,Environmental
20220816,114090,0,Environmental
20220817,114090,1,Environmental
20220823,114090,0,Environmental
20220905,114090,0,Governance
20220907,114090,0,Environmental
20220908,114090,0,Social
20220908,114090,0,Social
20221012,114090,0,Governance
20221031,114090,0,Environmental
20221101,114090,0,Governance
20221110,114090,-1,Governance
20221110,114090,1,Governance
20221128,114090,0,Social
20221128,114090,0,Social
20221129,114090,0,Social
20221202,114090,0,Governance
20221202,114090,0,Governance
20221219,114090,0,Governance
20230214,114090,-1,Governance
20230214,114090,-1,Governance
20230217,114090,1,Governance
20230321,114090,0,Social
20230323,114090,-1,Governance
20230327,114090,1,Social
20230403,114090,0,Environmental
20230418,114090,0,Social
20230418,114090,0,Social
20230510,114090,1,Governance
20230510,114090,1,Governance
20230510,114090,1,Governance
20230510,114090,-1,Governance
20230521,114090,0,Social
20230603,114090,0,Social
20230605,114090,0,Governance
20230607,114090,0,Governance
20230607,114090,0,Governance
20230607,114090,0,Governance
20230620,114090,0,Environmental
20230620,114090,0,Environmental
20230808,114090,-1,Governance
20230808,114090,-1,Governance
20230920,114090,0,Governance
20231005,114090,0,Governance
20231005,114090,0,Governance
20231013,114090,0,Environmental
20231017,114090,1,Social
20231018,114090,-1,Governance
20231019,114090,-1,Governance
20231020,114090,-1,Governance
20231021,114090,0,Environmental
20231109,114090,0,Governance
20231109,114090,0,Governance
20231109,114090,0,Governance
20240117,114090,1,Governance
20240205,114090,0,Environmental
20240205,114090,0,Environmental
20240205,114090,0,Environmental
20240205,114090,0,Environmental
20240206,114090,0,Environmental
20240214,114090,1,Governance
20240219,114090,0,Social
20240219,114090,0,Social
20240219,114090,0,Social
20240408,114090,-1,Governance
20240416,114090,1,Social
20240513,114090,1,Social
20240521,114090,-1,Social
20240613,114090,0,Governance
20240624,114090,0,Social
20240624,114090,0,Social
20240626,114090,1,Social
20240626,114090,1,Social
20240626,114090,1,Social
20240627,114090,1,Social
20240701,114090,0,Environmental
20240812,114090,0,Governance
20240812,114090,0,Governance
20240813,114090,0,Social
20240902,114090,0,Governance
20240902,114090,-1,Governance
20240904,114090,0,Governance
20240904,114090,0,Governance
20240910,114090,0,Social
20240910,114090,0,Social
20241013,114090,-1,Governance
20241022,114090,0,Environmental
20241025,114090,0,Social
