month,kospi200,bt20_short_20,bt20_short_40,bt20_short_60,bt20_short_80,bt20_short_100,bt20_short_120,bt120_long_20,bt120_long_40,bt120_long_60,bt120_long_80,bt120_long_100,bt120_long_120,bt20_ens_20,bt20_ens_40,bt20_ens_60,bt20_ens_80,bt20_ens_100,bt20_ens_120
2023-01-01,0.45000000000000007,0.5800000000000027,0.550000000000006,0.49999999999998934,0.46999999999999265,0.43999999999999595,0.41999999999999815,0.27999999999999137,0.35000000000000586,0.40000000000000036,0.46999999999999265,0.49999999999998934,0.5300000000000082,0.47999999999999154,0.45999999999999375,0.44999999999999485,0.46999999999999265,0.45999999999999375,0.43999999999999595
2023-02-01,0.9199999999999999,1.7668440000000007,1.6761600000000154,1.5250999999999904,1.434511999999999,1.3439599999999885,1.2836120000000006,0.8616239999999831,1.0725200000000212,1.2232800000000044,1.434511999999999,1.5250999999999904,1.6157240000000073,1.4847999999999972,1.4244160000000061,1.3942300000000074,1.4445590000000008,1.4143699999999981,1.3740920000000045
2023-03-01,1.48,3.619000560800001,3.4453251840000254,3.1393490899999987,2.956029679999994,2.7729098359999815,2.650940762000009,1.8198094279999966,2.2651757360000246,2.5796719520000178,2.956029679999994,3.1393490899999987,3.322868163199999,3.088259840000007,2.9660671232000224,2.9151434499999906,2.99666075270002,2.945726986999997,2.8845659708000015
2023-04-01,2.05,6.188751774707835,5.907323923379226,5.387786900161995,5.076923891407992,4.7667042868183795,4.560248260173205,3.194376855278014,3.983230688364814,4.538943686283203,5.076923891407992,5.387786900161995,5.6992941309535805,5.35620155648,5.138651139499539,5.055778433759994,5.169890294581969,5.097292681028298,5.014276486395564
2023-05-01,2.68,9.565554081143546,9.148088035434633,8.34918371205655,7.871970066919443,7.39634856441751,7.080150243243377,5.031236763301972,6.281260086577678,7.162871172808893,7.871970066919443,8.34918371205655,8.83856316664291,8.390460161306624,8.050991776063675,7.923801185001644,8.083096255741907,7.987468229756578,7.881166234474168
2023-06-01,-0.12,9.477901637878627,9.038939947399193,8.154155181374856,7.602290141752155,7.052680249011378,6.673245672319039,5.052243010654633,6.281260086577678,7.109289737222491,7.7856724908659025,8.327513875314141,8.860330879276246,8.28206970114531,7.910525486754794,7.761915483224158,7.942588230609449,7.836285774234919,7.708556368499009
2023-07-01,1.02,10.879218778843459,10.380118908752213,9.365481719406255,8.74287441725472,8.123207051501492,7.697308830773308,5.766598263127087,7.184650797313585,8.137538918699839,8.928200619269067,9.540782030717665,10.14488278365171,9.473172467857903,9.054377056914387,8.882639404249693,9.086779665853895,8.968566774864373,8.817954499094549
2023-08-01,1.78,13.29638574822225,12.698101405836004,11.465298968418857,10.721994731648765,9.982926212787335,9.474314426481056,7.1204107208951095,8.888886744990865,10.084014619236449,10.910693870539756,11.64396504570746,12.369809415881484,11.607899330981141,11.104599345584365,10.907856497168723,11.148519801538527,11.017175830231807,10.841968452777696
2023-09-01,-0.8500000000000001,12.48065177083506,11.819056214870471,10.462111277703091,9.61477478433228,8.77311402444667,8.16062265336328,6.563384585146448,8.181108981148434,9.423510531521018,10.112136874671872,10.918279272910357,11.67311659750303,10.73735771619948,10.204652090885125,9.976230502592509,10.24821679114607,10.095733270840878,9.899811720929087
2023-10-01,-1.92,10.658465212147528,9.895768447974707,8.252869052149038,7.203249739076978,6.140804665055066,5.348446464375822,5.305936647041709,6.612482900921779,7.913466086186016,8.328320257302192,9.30996422345316,10.087358341818486,8.832675163480852,8.265050214085544,7.996658353545838,8.307848175621913,8.13602921861991,7.899635147608186
2023-11-01,0.42,11.233889231250703,10.445247290214565,8.740006962883706,7.653503387981098,6.554753803248792,5.738235716294016,5.600793269653415,6.985626591075,8.345119950530755,8.783299202382855,9.801859062458696,10.615777661859216,9.268005864134764,8.687283909920485,8.407045655289313,8.741079568324395,8.557759732572535,8.298863797654343
