date,KOSPI200,BT120 앙상블 (120일),BT120 장기 (120일),BT20 앙상블 (20일),BT20 단기 (20일)
2023-01-31,0.0149342830602245,0.0031078548885692,0.0034959817959991,0.012941883119542,0.0060408946271555
2023-02-28,0.0172023708878859,0.0121054029527001,0.0115294948264892,0.0171934242240072,0.0180737755284965
2023-03-31,0.035464989073384,0.0151860668226193,0.0237675651075266,0.0210403962326017,0.0335658843083144
2023-04-30,0.0721831958912304,0.0210211649602471,0.0350376427591989,0.0217102254961465,0.0479023356078951
2023-05-31,0.0725230055978949,0.024095940354442,0.042982773604147,0.0273046059918169,0.0646559941267412
2023-06-30,0.0728632751701108,0.0318874244506948,0.050876963840317,0.0343307023777039,0.0770914015786834
2023-07-31,0.1121131802146786,0.0423710258759451,0.0568982090620904,0.0407031428031028,0.0882688624794185
2023-08-31,0.1347432316606607,0.0470563333102791,0.0649948182226702,0.0465557121609929,0.0952442032196176
2023-09-30,0.1297622901814092,0.053023862202983,0.0720832678008061,0.0588770891476022,0.1109910940334635
2023-10-31,0.1476703791803684,0.0563962878025592,0.0837532803701786,0.0746257502086993,0.1221526265278227
2023-11-30,0.1427717158916908,0.0617638032417446,0.0903248364207895,0.084936244876447,0.1294279947239918
2023-12-31,0.1378411186785633,0.0733256921491052,0.1003563802610243,0.1023299889417934,0.141738680900376
2024-01-31,0.1490366167070902,0.082802366610057,0.1073580865302272,0.1130742631617243,0.1550121352952931
2024-02-29,0.1108132186079433,0.0932340103450566,0.1162738322377741,0.1242803296541268,0.1622475889293861
2024-03-31,0.0780460541136223,0.0952655779494049,0.120346574404091,0.1339315301237631,0.1723379944490439
2024-04-30,0.0713128473406798,0.1026542710781963,0.1302744231122807,0.1410276229284275,0.1823253338123873
2024-05-31,0.0549682317493689,0.1087537032527101,0.1443915399654995,0.1564831475663057,0.1967541377500317
2024-06-30,0.0668734919641154,0.1137855207569857,0.1467856439193555,0.1659378311097086,0.2147351582999528
2024-07-31,0.0528329230991599,0.1234462207247364,0.1529212935041926,0.1879493081125667,0.2129410709399646
2024-08-31,0.0283586910310438,0.1262553590730437,0.1625918810077595,0.2066495145345874,0.229095658051027
2024-09-30,0.0636447374765876,0.1299372398005414,0.1704423391135685,0.2157489171362816,0.2465532341954208
2024-10-31,0.0641600456867816,0.1352314292912775,0.1798782542815162,0.2239165244381,0.262349925322183
